,Unnamed: 0,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
616898,-0.1331090219592403,2016-08-28,1.4598896629209104,-6570.948390427926,-5238.598237699555,31249.17141541215,1987.236431884356,-11519.814455063295,-8020.078514414151,3850.569623186281,-48.96090315943867,organic,2015.000537141065,LasVegas
594524,17.443399967987993,2016-03-20,1.1601839824632794,2243.150852619965,1834.843147187682,22347.10296013545,-54.09135909395417,-9186.323367220788,284.12798277005186,5365.926098260064,98.44753348424582,organic,2015.0075398698757,Atlanta
303750,47.17993041126265,2015-08-02,1.6537680385138835,57199.17259571407,-5503.003429185189,-5413.124018108485,52.59460427754681,1684.777750668036,-12219.46255591466,-506.7902314349287,135.86675124556646,organic,2015.0065674727969,NewOrleansMobile
437217,43.63656128750285,2017-05-28,1.6750527266759565,36103.98582477789,-7077.944623553359,21739.81206537314,2026.570818558668,3613.3532326789546,-11698.154964343994,2086.0060469036102,22.558999644565716,organic,2016.0096683988547,GrandRapids
748510,23.70307505115669,2016-03-13,1.037912537385907,3648277.095713664,2956526.7777394783,1139808.9121530396,131602.5517235895,243938.20674042465,155400.01736918386,133302.2974397801,6645.127486511263,conventional,2015.9977006344768,WestTexNewMexico
196320,6.806005161181322,2017-04-02,2.350532269116674,6251.80633611319,5604.366499260583,-14435.599849222051,695.9985573611486,8749.445045998234,10018.643962057053,3002.272573280776,34.058174078033325,organic,2015.99533181201,Northeast
520203,30.32084926909033,2017-12-24,1.7496233816085378,30180.44052004324,-15358.097473406644,21098.7145082525,1093.5832444930709,4062.554882131049,-1236.9121198862367,1483.0416668295186,-75.81888722896147,organic,2016.0060153482,Chicago
744190,1.022870937374515,2016-08-07,0.9588101914987168,6191333.941043995,471106.2422406668,391033.66476800304,256234.26211688263,573567.7187458591,67052.44170188346,181958.26262181063,1489.8990496335755,conventional,2016.0140745007027,LosAngeles
509247,44.40340958629805,2017-09-17,1.1474800622125727,176853.2533771275,1858.7133934381357,25176.004838694047,1425.2756513860015,-14544.315118142362,7345.835820415636,5154.617395291672,-101.0647984084152,organic,2015.0130001279183,Jacksonville
566250,47.885391134240464,2017-01-15,0.8296338732831371,6179493.117598301,532172.9122073697,1189329.8066350475,19364.408022608164,685141.2522407917,525118.2953540832,5298.918792796073,3873.9078858537646,conventional,2017.0025049206545,Northeast
186773,1.114567110530278,2018-02-25,0.8003229043346917,399789.1611047237,94349.96616711724,109205.28990115457,299790.6206149321,563915.5436029484,40125.26893195376,87547.20571499257,1822.5785432567548,conventional,2015.9919278405207,Indianapolis
780041,21.7781512209732,2015-08-16,1.0571754592209777,3286349.7635450102,379150.2682983041,215429.42189204597,79667.83542186502,622699.6434675769,67855.76993434574,27228.39985446876,3887.213079629855,conventional,2015.9969617155969,CincinnatiDayton
469880,9.491406495072315,2016-04-17,1.0949964815802502,3570747.374075586,822009.0747542067,446475.78372374014,9537.355935908452,367232.4435305367,214962.9300552,163599.3238332168,-232.8526660174548,conventional,2018.0114215559524,Philadelphia
334855,34.67738474150708,2016-01-03,1.3736900835833858,111768.7491280022,21575.455725741976,-14363.916731554991,925.0286446857232,68922.43942579295,35722.95391349175,29979.46041258437,-31.45317555554578,conventional,2014.9872484690209,DallasFtWorth
229824,4.385263374299216,2016-10-16,1.3049996024175212,92254.14698563363,24.18518992636382,157559.00998840466,1158.447109513094,721.6652749130644,25058.39508556579,19474.03136320095,94.71247649078784,conventional,2016.9921378882916,MiamiFtLauderdale
375092,13.697056895292487,2018-01-28,1.1091665578921983,289143.9962644006,-12512.031127260285,25814.55908636693,2010.1704239941555,-13981.978838747862,-9872.228293859873,5705.235318031603,-170.7251993198868,conventional,2015.0232752467089,Tampa
676160,3.331435354151009,2015-09-13,1.649937520561116,-6611.723337751595,-17767.459199465018,-4458.038201109424,435.63016901165736,6814.813710168868,-15113.31550062326,-842.2899578275376,-104.1170524672998,organic,2017.0250301058115,BuffaloRochester
682652,2.08102258500076,2015-03-29,1.1475802111893292,251842.5894585921,-1526.3820652941868,3106.771588058087,672591.6015132343,-3599.101734897833,-4904.780009934191,1712.8000320985084,-43.38548317281395,conventional,2015.0094903994725,NewOrleansMobile
658363,24.700843636344203,2015-12-20,1.1519025683747413,727130.7987248249,995.31660864278,25079.82455446957,1769.320035358172,83690.99326412975,57193.77046480392,3956.510967711996,1.0391836357223028,conventional,2014.9926521506688,Tampa
170244,27.3845060496067,2017-08-20,1.2774504771864654,3499839.61578455,31910.710134973764,401261.7579580238,88985.17506605451,502020.4411205148,407597.0707350211,2681.670864285195,29411.010720370658,conventional,2016.004601714998,BaltimoreWashington
615231,0.2315037973475788,2017-04-30,1.6154339456291245,300426.1509946701,7197.845511074544,-24560.475556289188,1878.384272213964,83311.05613060137,3244.700756879556,4791.4638538651725,31.767833743944266,conventional,2016.012753513548,NorthernNewEngland
897298,16.661539402921033,2017-11-19,0.6728130819097676,6911467.207072415,296585.19771759864,1876490.912506366,113703.64971705605,301071.66808781266,503572.86906415,978616.8252212884,-95.8505397967234,conventional,2015.0361076093384,Northeast
958048,47.50316190328519,2015-02-22,2.4417124175926888,37480.19046046336,18198.32053361496,44745.15619009629,999.2712471040702,-12448.49049917779,-1707.5251441917908,4555.198705888975,-23.647183087912968,organic,2014.99916328041,Pittsburgh
215574,31.356350931261357,2016-02-21,1.3238590682180846,94784.40219227392,143372.61905451585,5202.875508979519,85.88634630421808,-8635.002185613163,56962.73498146115,710.2573318137142,116.13996154406824,conventional,2015.0225799973475,Detroit
615711,48.042565401001866,2016-05-01,0.9714249354314342,1431761.0506676324,547195.2767695009,268790.43060913426,16967.816917224824,115696.60237715638,193627.19621480917,554.0241530376047,185.8587882628336,conventional,2016.0113257696669,Chicago
920649,35.74036263266237,2015-10-11,1.3242967655691722,124668.2942863072,18468.84391482484,7642.117737359745,-281.2363319554026,42097.93348034343,24116.84478944129,1281.0605921479378,42.57512997030628,conventional,2016.002083343772,RichmondNorfolk
996524,20.8144613904615,2015-10-25,0.8556727140975469,6534058.977804522,543852.3268909021,1314182.6567431383,133687.49965796075,9695317.970392697,268633.2213119336,100342.18632209596,-47.68575741842248,conventional,2018.034235966719,GreatLakes
609627,-0.4168307972817224,2015-04-05,1.2920585315875193,89342.2009188658,7768.696621707766,4251.56576287083,2017.2557694146908,-4859.017977953032,-11289.39966147179,1632.6106436327964,-74.78689771312102,organic,2015.0387484373523,Sacramento
950821,25.391133169952894,2017-05-28,0.9072659038384564,608376.3301991781,593040.1987947169,317373.9600679761,13532.222789209109,104563.68787883356,16291.283567448729,4463.908791584528,55.24429063596797,conventional,2015.008252100485,Midsouth
